Scientific_Name_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Category,Fora.WaterBelow,Fora.WaterSurface,Fora.Ground,Fora.Understory,Fora.MidHigh,Fora.Canopy,Fora.Aerial,Beha.Pelagic,Beha.Nocturnal,Morph.BodyMass,Phen.MigrantStatus,Morph.BeakLength,Morph.BeakWidth,Morph.BeakDepth,Morph.TarsusLength,Morph.WingLength,Morph.TailLength,Morph.HandWingIndex,Ecol.Habitat,Ecol.TrophicNiche,Ecol.PrimaryLifestyle
Anser_anser,0,0,0,0,0,0,10,0,10,80,PlantSeed,0,20,80,0,0,0,0,0,0,3302.4,Full migrant,61.2,22.5,21.6,76.2,435.7,136.1,47.2,Wetland,Herbivore terrestrial,Terrestrial
Anthus_campestris,70,0,10,0,0,0,0,0,20,0,Invertebrate,0,0,100,0,0,0,0,0,0,23,Full migrant,16.1,3.5,3.9,24.7,91.2,70.6,28.5,Grassland,Invertivore,Terrestrial
Anthus_cervinus,90,0,0,0,0,0,0,0,10,0,Invertebrate,0,0,80,20,0,0,0,0,0,20.9,Full migrant,14.1,3,3,21.7,83.3,56.6,27.5,Grassland,Invertivore,Terrestrial
Anthus_petrosus,60,0,0,20,0,0,0,0,20,0,Invertebrate,0,0,80,20,0,0,0,0,0,22.4,Partial migrant,16.8,3.2,3.6,23,88.2,62.9,26.5,Rock,Invertivore,Terrestrial
Anthus_pratensis,80,0,0,0,0,0,0,0,20,0,Invertebrate,0,0,70,20,10,0,0,0,0,18.4,Partial migrant,14.2,3.1,3.1,21.5,77.8,56.3,24.3,Grassland,Invertivore,Terrestrial
Anthus_spinoletta,70,0,0,0,0,0,10,0,10,10,Invertebrate,0,0,80,20,0,0,0,0,0,23.9,Full migrant,16.4,3.1,3.4,22.9,86.9,63.3,23.4,Grassland,Invertivore,Terrestrial
Anthus_trivialis,60,0,0,0,0,0,10,10,10,10,Invertebrate,0,0,100,0,0,0,0,0,0,23.3,Full migrant,15.7,3.3,3.8,20.6,86.1,59.9,29.3,Woodland,Invertivore,Terrestrial
Apus_apus,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0,0,100,0,0,37.6,Full migrant,10.2,4,2.8,8.8,161.3,67.4,71.6,Human Modified,Invertivore,Aerial
Apus_pallidus,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0,0,100,0,0,41.9,Full migrant,11.3,3.8,2.3,11.4,166.8,72,72.3,Rock,Invertivore,Aerial
Aquila_adalberti,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,2958,Partial migrant,61.2,21.1,31,98.4,592.5,297,39.7,Woodland,Vertivore,Generalist
